x y mag_blue mag_red color
2490.286 5993.904 16.352 16.350 0.002
3535.046 6006.243 18.307 18.006 0.301
6554.629 6006.114 22.563 21.923 0.641
6659.244 6014.924 19.330 18.819 0.511
7255.475 6015.031 19.468 19.005 0.463
7366.455 6031.050 19.215 18.665 0.550
3565.909 6063.973 19.655 19.205 0.450
6079.042 6067.235 19.701 19.269 0.432
6678.196 6099.417 20.084 19.659 0.425
2988.420 6100.287 19.591 19.135 0.456
3031.511 6152.448 16.365 15.954 0.411
7348.032 6152.285 14.146 13.251 0.895
3049.455 6164.551 19.846 19.406 0.441
5638.786 6183.270 20.134 19.816 0.319
6708.395 6183.980 18.861 18.676 0.185
7107.419 6190.943 19.648 19.212 0.437
6905.679 6194.630 19.863 19.416 0.447
5758.337 6197.936 18.388 17.765 0.623
2923.238 6198.609 19.174 18.605 0.569
4445.844 6212.973 19.801 19.369 0.433
3774.027 6214.317 18.734 18.114 0.620
7645.820 6215.792 20.079 19.644 0.435
4914.393 6240.792 20.166 19.744 0.422
3257.072 6261.498 19.888 19.449 0.439
6886.866 6260.752 16.945 16.910 0.035
3075.434 6266.029 17.621 16.961 0.660
6447.859 6268.333 19.765 19.339 0.426
5324.292 6284.919 20.203 19.780 0.423
5630.191 6296.965 19.890 19.475 0.416
3558.824 6300.257 19.153 18.571 0.582
4778.338 6300.668 20.153 19.723 0.431
8189.362 6300.534 16.664 15.971 0.693
4172.525 6303.876 18.894 18.291 0.603
5567.481 6312.278 19.692 19.263 0.430
5473.028 6321.742 19.588 19.150 0.438
6126.496 6323.676 19.904 19.484 0.419
5858.573 6326.273 20.390 19.959 0.431
5861.704 6325.577 20.511 20.073 0.438
3494.998 6340.095 22.623 21.951 0.672
2620.544 6340.778 19.207 18.655 0.552
4311.980 6365.558 20.200 19.744 0.456
5452.344 6380.946 19.581 19.129 0.453
6348.098 6389.013 18.159 17.533 0.626
2859.435 6393.048 19.670 19.270 0.400
2858.794 6417.852 19.999 19.566 0.433
6844.773 6420.335 19.351 18.850 0.500
3003.073 6420.505 19.479 19.003 0.476
3903.644 6426.525 19.936 19.494 0.442
6575.869 6429.735 19.794 19.363 0.431
4473.606 6441.954 16.782 16.679 0.103
5454.794 6454.832 20.038 19.623 0.415
6149.569 6458.690 19.724 19.298 0.425
4771.934 6462.705 20.078 19.656 0.422
4907.829 6465.665 19.725 19.286 0.439
7103.093 6466.100 19.824 19.380 0.444
3173.403 6474.630 20.092 19.651 0.441
6396.320 6478.672 19.783 19.357 0.426
2677.576 6483.748 19.655 19.175 0.480
6406.993 6486.085 20.139 19.807 0.332
7366.127 6496.294 18.729 18.125 0.604
4429.631 6497.463 18.204 17.571 0.633
5357.052 6516.997 19.383 18.897 0.485
5403.837 6525.172 20.053 19.635 0.418
3238.597 6526.727 20.014 19.569 0.445
7943.919 6529.682 20.020 19.602 0.418
5901.766 6546.724 19.998 19.528 0.471
6799.130 6554.239 19.944 19.515 0.429
4397.951 6568.721 19.586 19.139 0.447
3728.601 6570.047 19.948 19.511 0.437
4619.183 6574.176 19.525 19.064 0.461
5152.646 6595.730 19.983 19.559 0.424
5858.276 6599.617 20.170 19.754 0.416
4533.288 6619.542 20.083 19.656 0.427
4106.048 6629.145 20.120 19.691 0.429
4552.590 6632.354 20.186 19.755 0.431
7512.452 6635.256 20.016 19.601 0.415
4529.761 6645.337 19.649 19.205 0.444
5332.768 6644.675 19.814 19.393 0.421
3439.836 6646.786 20.061 19.625 0.436
6269.275 6655.151 19.386 18.906 0.480
4836.936 6674.154 19.067 18.489 0.579
5195.124 6684.453 19.210 18.686 0.525
4552.104 6699.767 19.770 19.327 0.443
4044.417 6721.077 19.212 18.670 0.542
4603.402 6723.800 19.417 18.934 0.482
3757.140 6730.939 17.552 16.897 0.654
5064.053 6734.730 19.628 19.188 0.440
7088.573 6735.600 20.048 19.594 0.454
6319.193 6738.526 19.474 18.998 0.476
4932.230 6754.219 19.975 19.553 0.422
6567.826 6761.510 19.327 18.814 0.513
2966.273 6771.897 20.112 19.673 0.439
7109.404 6801.196 19.886 19.462 0.424
3899.999 6804.943 20.125 19.691 0.434
2888.501 6808.920 19.568 19.107 0.461
3185.832 6824.115 18.834 18.226 0.608
6249.457 6824.691 19.084 18.505 0.579
6326.682 6841.244 19.097 18.522 0.575
4229.433 6861.031 17.277 16.616 0.661
3853.407 6861.798 20.071 19.638 0.433
3045.603 6880.425 19.615 19.116 0.499
3784.726 6884.798 19.567 19.102 0.465
4271.717 6896.523 15.940 15.198 0.742
3030.168 6903.256 20.183 19.742 0.442
3343.312 6917.564 20.114 19.680 0.434
5881.652 6919.155 20.114 19.679 0.435
6523.427 6938.775 19.968 19.535 0.433
6317.303 6939.805 20.143 19.745 0.398
3208.030 6965.408 18.912 18.302 0.610
4892.453 6974.662 18.057 17.472 0.585
6229.944 6996.569 20.141 19.706 0.435
4924.851 7005.919 18.817 18.183 0.635
3562.485 7007.920 19.885 19.448 0.436
5367.504 7014.269 19.209 18.659 0.550
5238.235 7017.128 16.506 15.791 0.715
4581.226 7032.102 19.747 19.311 0.436
4261.696 7042.862 19.412 18.923 0.489
5227.277 7043.062 16.445 15.884 0.561
5629.602 7043.436 16.598 16.358 0.239
2890.776 7056.348 19.770 19.330 0.440
4790.909 7058.609 16.454 15.748 0.706
5221.924 7063.628 20.173 19.739 0.434
6448.283 7070.156 17.111 17.066 0.045
5308.382 7084.540 20.047 19.625 0.422
6231.343 7092.339 19.920 19.462 0.458
5072.333 7101.073 16.704 16.547 0.157
4277.469 7105.392 20.007 19.573 0.434
5912.547 7158.701 17.915 17.250 0.665
